technologies,experience
"Git,Java,PostgreSQL,Python,API,JavaScript,SQL,CSS,HTML",2
"Git,Python,API,Elasticsearch,SQL,HTML,OOP",1
"Redis,PostgreSQL,Python,React,Webpack,SQL,Elasticsearch,Django",2
"Redis,Python,REST,OpenShift,OracleDB,API,Kafka,Docker",0
"Python,Git,API",1
"Python,Docker,SQL,Git",0
"PostgreSQL,Python,REST,API,SQL,Django,Docker",2
Python,0
Python,0
Python,0
Python,0
"Python,Django",5
"Python,TensorFlow,SQL",1
"Java,Python,JavaScript,CSS,HTML",0
"Git,Java,PostgreSQL,Python,Flask,REST,HTML,JavaScript,SQL,AWS,Django,CSS,Docker,OOP",2
"Python,Git,API,C#",0
,0
"Java,PostgreSQL,Python,React,Kubernetes,API,HTML,JavaScript,SQL,AWS,Django,CSS,Docker,Angular",5
"Git,Python,SQL,Django,OOP",2
"Python,REST,TensorFlow,Flask, ML,Django",5
"Java,Python,API,SQL,CSS,HTML",5
Python,0
"Python,REST,Flask,API,HTML,Django,CSS,JS,Docker,OOP",0
"Java,Python,JavaScript,CSS,HTML",0
"Java,Python,JavaScript,CSS,HTML",0
"Java,Python,JavaScript,CSS,HTML",0
"Java,PostgreSQL,FastAPI,MongoDB,Python,React,Flask,GCP,REST,API,JavaScript,SQL,AWS,Django,CSS,JS,Docker,TypeScript",2
Python,0
"Python,Azure,Node,JS",1
"Java,PostgreSQL,FastAPI,Python,API,JavaScript,SQL,Django,CSS,HTML",0
"Python,DevOps,API,SQL",1
"Java,Python,Ruby,C#,JS",2
Python,0
"Git,FastAPI,Python,REST,API,Django,Docker",0
"Python,Azure,Node,JS",0
"Python,REST,GCP,API,SQL",2
"Git,PostgreSQL,Redis,FastAPI,Python,API,SQL,Docker",0
"Git,PostgreSQL,Python,REST,DRF,SQL,Django",0
Python,1
Python,1
Python,0
Python,0
Python,0
